"code_ogr","libelle","code_type_referentiel","code_ref_rubrique","code_tete_rgpmt","libelle_activite_impression","libelle_en_tete_regroupement"
"100538","Techniques du trompe-l''oeil","1","10","","",""
"100541","Techniques de communication","1","10","","",""
"100541","Techniques de communication","1","7","","",""
"100542","Scénographie","1","10","","",""
"100542","Scénographie","1","7","","",""
"100551","Utilisation d''outils manuels (ébauchoir, estèque, mirette, ...)","1","7","","",""
"100554","Caractéristiques des matériaux composites","1","10","","",""
"100554","Caractéristiques des matériaux composites","1","7","","",""
"100558","Façonner des pièces d''art","2","9","","",""
"100560","Façonner des articles d''art de la table","2","9","","",""
"100565","Caractéristiques du grès","1","10","","",""
"100566","Techniques du raku","1","10","","",""
"100576","Utilisation de tour","1","10","","",""
"100576","Utilisation de tour","1","7","","",""
"100579","Décorer des ouvrages par engobe","2","9","","",""
"100585","Décorer des ouvrages par effets de surface ou de matière (lustre, cristallisation)","2","9","","",""
"100586","Décorer des ouvrages par procédés d''impression répétitifs (sérigraphie, pochoir, tampon)","2","9","","",""
"100588","Application par vaporisation, arrosage","1","10","","",""
"100590","Application de produits par poudrage","1","10","","",""
"100594","Dessin industriel","1","10","","",""
"100594","Dessin industriel","1","7","","",""
"100596","Techniques de maçonnerie","1","10","","",""
"100596","Techniques de maçonnerie","1","7","","",""
"100597","Principes de conservation préventive","1","10","","",""
"100597","Principes de conservation préventive","1","7","","",""
"100598","Techniques de restauration de document","1","10","","",""
"100598","Techniques de restauration de document","1","7","","",""
"100601","Repérer les tendances et les ambiances de décoration","2","6","","",""
"100610","Techniques de dessin","1","10","","",""
"100610","Techniques de dessin","1","7","","",""
"100614","Concevoir l''aménagement de boutiques","2","9","","",""
"100615","Concevoir l''aménagement de salons et d''expositions commerciales","2","9","","",""
"100616","Concevoir l''aménagement de manifestations évènementielles","2","9","","",""
"100617","Concevoir l''aménagement de musée et d''expositions culturelles","2","9","","",""
"100618","Concevoir l''aménagement de hall, guichet, accueil","2","9","","",""
"100619","Muséographie","1","10","","",""
"100619","Muséographie","1","7","","",""
"100628","Mode et styles vestimentaires","1","10","","",""
"100628","Mode et styles vestimentaires","1","7","","",""
"100633","Graphisme","1","10","","",""
"100634","Techniques de peinture","1","10","","",""
"100634","Techniques de peinture","1","7","","",""
"100643","Tracé de croquis","1","7","","",""
"100644","Abrasion manuelle","1","7","","",""
"100645","Peinture par filets","1","7","","",""
"100646","Procédures de séchage (température, durée, ...)","1","7","","",""
"100647","Procédés de masquage","1","7","","",""
"100658","Appliquer une couche de métal par l''argenture","2","9","","",""
"100659","Appliquer une couche de métal par la dorure","2","9","","",""
"100660","Appliquer une couche de métal par cuivrage","2","9","","",""
"100661","Appliquer une couche de métal par nickelage","2","9","","",""
"100662","Utilisation de pistolet de projection","1","10","","",""
"100662","Utilisation de pistolet de projection","1","7","","",""
"100663","Préparation de bains de traitement","1","10","","",""
"100664","Propriétés des métaux précieux","1","10","","",""
"100664","Propriétés des métaux précieux","1","7","","",""
"100665","Propriétés des métaux","1","10","","",""
"100665","Propriétés des métaux","1","7","","",""
"100666","Techniques d''électrolyse","1","10","","",""
"100672","Techniques de titrage","1","10","","",""
"100673","Utilisation de fer à dorer","1","10","","",""
"100674","Utilisation de fleuron et empreinte","1","10","","",""
"100677","Restaurer des ouvrages graphiques","2","9","","",""
"100678","Restaurer des sculptures","2","9","","",""
"100679","Restaurer des tableaux","2","9","","",""
"100680","Restaurer des cadres","2","9","","",""
"100681","Histoire des arts décoratifs","1","10","","",""
"100682","Techniques d''entoilage","1","10","","",""
"100684","Reporter ou reproduire un décor en petite série selon des techniques de papier à la cuve","2","9","","",""
"100685","Utilisation de pigments naturels","1","10","","",""
"100686","Techniques de teinture chimique","1","10","","",""
"100693","Techniques de pantographie","1","7","","",""
"100703","Utilisation de matériel de pulvérisation (jet de sable)","1","10","","",""
"100711","Réaliser des ciselures en repoussé indirect (resingle)","2","9","","",""
"100712","Réaliser des ciselures en tracé-mati","2","9","","",""
"100713","Réaliser des ciselures à la molette","2","9","","",""
"100714","Réaliser des gravures ou des ciselures sur linoléum","2","9","","",""
"100715","Réaliser des gravures ou des ciselures sur plastiques, composites","2","9","","",""
"100720","Réaliser des gravures ou des ciselures sur verre, cristal","2","9","","",""
"100723","Réaliser des ornementations ou des décorations spécifiques avec l''emaillage","2","9","","",""
"100725","Utilisation de fraise mécanique","1","10","","",""
"100726","Techniques de lithographie","1","10","","",""
"100727","Xylographie","1","10","","",""
"100731","Terminer l''ouvrage par rabattage des tiges d''osier, le serrage des lignes torsadées, insérer les éléments de renforts et effectuer les opérations de ponçage, vernis","2","6","","",""
"100733","Caractéristiques des fibres végétales","1","7","","",""
"100734","Caractéristiques des brins végétaux","1","10","","",""
"100734","Caractéristiques des brins végétaux","1","7","","",""
"100735","Caractéristiques des lianes végétales (rotin, clématite...)","1","7","","",""
"100737","Techniques de cintrage","1","10","","",""
"100737","Techniques de cintrage","1","7","","",""
"100738","Techniques de tressage","1","7","","",""
"100739","Techniques de nouage","1","7","","",""
"100740","Procédés de tissage","1","10","","",""
"100740","Procédés de tissage","1","7","","",""
"100741","Techniques de piqûre machine","1","10","","",""
"100741","Techniques de piqûre machine","1","7","","",""
"100742","Techniques de cannage","1","7","","",""
"100743","Techniques de formage à chaud","1","7","","",""
"100744","Techniques de formage à froid","1","10","","",""
"100744","Techniques de formage à froid","1","7","","",""
"100746","Techniques de pliage","1","10","","",""
"100746","Techniques de pliage","1","7","","",""
"100749","Réaliser des objets de jardins","2","9","","",""
"100753","Couture manuelle","1","10","","",""
"100753","Couture manuelle","1","7","","",""
"100760","Réaliser des opérations d''architecture végétale décorative ou utilitaire (tressage de l''osier)","2","9","","",""
"100761","Utilisation de scie stationnaire","1","10","","",""
"100762","Utilisation de chantourneuse","1","10","","",""
"100763","Utilisation de toupie","1","10","","",""
"100765","Mise en bain de cuve","1","10","","",""
"100772","Utilisation de massicot","1","7","","",""
"100773","Techniques de rognage","1","7","","",""
"100775","Utilisation de presse hydraulique","1","10","","",""
"100775","Utilisation de presse hydraulique","1","7","","",""
"100776","Histoire du livre","1","7","","",""
"100777","Techniques de démontage/remontage de livres","1","7","","",""
"100778","Techniques de couture de documents papier","1","7","","",""
"100784","Réaliser des dorures et des décorations en titrage","2","9","","",""
"100788","Réaliser des dorures et des décorations en papier reliure","2","9","","",""
"100789","Sertissage d''élément de décor","1","10","","",""
"100790","Techniques de dorure au film","1","10","","",""
"100791","Techniques de dorure au balancier","1","10","","",""
"100799","Histoire de la musique","1","10","","",""
"100799","Histoire de la musique","1","7","","",""
"100800","Techniques de collage","1","10","","",""
"100800","Techniques de collage","1","7","","",""
"100809","Réparer des instruments électroacoustiques","2","9","","",""
"100812","Réparer des percussions (batterie, cymbales, ...)","2","9","","",""
"100814","Montage de cordes","1","10","","",""
"100816","Tension de cordes","1","10","","",""
"100817","Techniques d''alésage","1","10","","",""
"100818","Fraisage sur métal","1","10","","",""
"100819","Techniques de polissage","1","10","","",""
"100819","Techniques de polissage","1","7","","",""
"100820","Caractéristiques des cuirs et peaux","1","10","","",""
"100820","Caractéristiques des cuirs et peaux","1","7","","",""
"100822","Techniques d''usinage","1","10","","",""
